uniqueid,deviceid,date,starttime,endtime,lat,lon,altitude,precision,grid,photo,severity,estpop,pointofinterest
50766892,357083077024201,3/24/2019,2019-03-24T14:38:14.995+02,2019-03-24T14:38:53.325+02,-19.960225,34.4246166666667,336.1,4.8,D5,1553431121593.jpg,Severe,"More than 5,000",House(s)
50766915,357083079600768,3/24/2019,2019-03-24T14:52:03.048+02,2019-03-24T14:52:33.482+02,-19.9484333333333,34.5034066666667,219,4.9,D5,1553431940746.jpg,Serious,Less than 100,House(s)
50766918,357083079604919,3/24/2019,2019-03-24T16:11:22.103+02,2019-03-24T16:12:01.489+02,-19.5155066666667,35.260275,114.5,5,F9,1553436701243.jpg,No / Minor,Less than 100,None
50766923,357083077024201,3/24/2019,2019-03-24T14:39:00.921+02,2019-03-24T14:40:03.057+02,-19.9627366666667,34.4148366666667,318.7,4.5,D5,1553431159035.jpg,Severe,"More than 5,000",None
50766924,357083079600768,3/24/2019,2019-03-24T14:53:05.713+02,2019-03-24T14:54:33.623+02,-19.9446366666667,34.5429066666667,220.4,4.9,D6,1553432057165.jpg,Serious,Less than 100,Road
50766935,357083079604919,3/24/2019,2019-03-24T16:12:28.360+02,2019-03-24T16:13:12.942+02,-19.532555,35.2804,103.7,4.8,F9,1553436776251.jpg,Serious,Less than 100,House(s)
50766941,357083079600768,3/24/2019,2019-03-24T14:54:59.786+02,2019-03-24T14:55:35.511+02,-19.9458966666667,34.5423966666667,221.4,4.4,D6,1553432119472.jpg,Serious,Less than 100,House(s)
50766946,357083077024201,3/24/2019,2019-03-24T14:40:12.239+02,2019-03-24T14:41:35.085+02,-19.96111,34.4096933333333,322.6,4.4,D5,1553431284473.jpg,Severe,"More than 5,000",House(s)
50766960,357083077024201,3/24/2019,2019-03-24T14:41:49.882+02,2019-03-24T14:43:56.668+02,-19.9498633333333,34.4138433333333,320.6,4.8,D5,1553431408838.jpg,Severe,"More than 5,000",Road
50766972,357083079604919,3/24/2019,2019-03-24T16:13:23.905+02,2019-03-24T16:14:00.018+02,-19.54591,35.2913933333333,102.6,4.7,F9,1553436822295.jpg,Of concern,Less than 100,House(s)
50766979,357083079600768,3/24/2019,2019-03-24T14:56:17.987+02,2019-03-24T14:56:52.851+02,-19.927745,34.5662533333333,223.4,4.8,D6,1553432200716.jpg,Serious,Less than 100,House(s)
50767005,357083077024201,3/24/2019,2019-03-24T14:44:17.311+02,2019-03-24T14:44:58.166+02,-19.9435466666667,34.4128766666667,303,4.7,D5,1553431478287.jpg,Severe,"More than 5,000",Road
50767019,357083079604919,3/24/2019,2019-03-24T16:14:10.298+02,2019-03-24T16:15:25.606+02,-19.5426883333333,35.30622,108.1,4.6,F9,1553436900138.jpg,Serious,"Between 101 and 1,000",House(s)
50767033,357083077024201,3/24/2019,2019-03-24T14:45:09.459+02,2019-03-24T14:48:43.246+02,-19.9484783333333,34.468035,302.3,4.9,D5,1553431708390.jpg,Of concern,Less than 100,House(s)
50767038,357083079600768,3/24/2019,2019-03-24T14:58:02.975+02,2019-03-24T15:00:01.495+02,-19.8901383333333,34.591985,225.9,4.9,D6,1553432375843.jpg,Of concern,"Between 101 and 1,000",Sea port / port
50767052,357083079604919,3/24/2019,2019-03-24T16:15:28.701+02,2019-03-24T16:17:22.542+02,-19.5583266666667,35.28808,72,4.8,F9,1553437013301.jpg,Serious,"Between 101 and 1,000",House(s)
50767063,357083077024201,3/24/2019,2019-03-24T14:49:01.312+02,2019-03-24T14:49:45.153+02,-19.9481416666667,34.498705,309.4,4.8,D5,1553431761737.jpg,Of concern,Less than 100,House(s)
50767082,357083079600768,3/24/2019,2019-03-24T15:01:36.606+02,2019-03-24T15:04:55.605+02,-19.8630183333333,34.51231,236.1,4.7,E5,1553432679788.jpg,No / Minor,None,None
50767095,357083079600768,3/24/2019,2019-03-24T15:08:26.870+02,2019-03-24T15:08:59.491+02,-19.8668066666667,34.4638783333333,440.7,5,E5,1553432925075.jpg,Serious,"Between 101 and 1,000",House(s)
50767098,357083077024201,3/24/2019,2019-03-24T14:50:33.445+02,2019-03-24T14:51:33.852+02,-19.957085,34.501405,305,4.9,D5,1553431862970.jpg,Serious,"Between 101 and 1,000",House(s)
50767107,357083077024201,3/24/2019,2019-03-24T14:51:52.828+02,2019-03-24T14:52:42.231+02,-19.948135,34.500905,304.8,5,D5,1553431946234.jpg,Severe,Less than 100,House(s)
50767112,357083079604919,3/24/2019,2019-03-24T16:20:07.308+02,2019-03-24T16:20:56.383+02,-19.57346,35.2714,96.2,4.8,F9,1553437233757.jpg,Serious,"Between 101 and 1,000",Building
50767110,357083079600768,3/24/2019,2019-03-24T15:09:34.330+02,2019-03-24T15:10:05.282+02,-19.8409166666667,34.46975,437.4,4.6,E5,1553432988060.jpg,No / Minor,Less than 100,Road
50767131,357083077024201,3/24/2019,2019-03-24T14:52:58.693+02,2019-03-24T14:54:05.293+02,-19.949185,34.5275883333333,306.5,4.8,D6,1553432024393.jpg,Severe,"Between 101 and 1,000",House(s)
50767136,357083079600768,3/24/2019,2019-03-24T15:11:39.740+02,2019-03-24T15:12:18.980+02,-19.7828416666667,34.47008,429.3,4.3,E5,1553433123677.jpg,No / Minor,Less than 100,House(s)
50767140,357083079604919,3/24/2019,2019-03-24T16:21:00.045+02,2019-03-24T16:21:54.522+02,-19.5782733333333,35.26365,92.6,4.7,F9,1553437300575.jpg,Serious,"Between 101 and 1,000",House(s)
50767148,357083079600768,3/24/2019,2019-03-24T15:13:33.571+02,2019-03-24T15:14:05.462+02,-19.7298683333333,34.472665,382.6,4.6,E5,1553433230113.jpg,No / Minor,None,Road
50767150,357083077024201,3/24/2019,2019-03-24T14:54:41.999+02,2019-03-24T14:55:28.158+02,-19.945105,34.5357833333333,307.8,4.6,D6,1553432105576.jpg,Of concern,"Between 1,001 and 5,000",Road
50767151,357083079604919,3/24/2019,2019-03-24T16:21:59.711+02,2019-03-24T16:23:09.637+02,-19.581985,35.260655,94.1,4.9,F9,1553437376135.jpg,Of concern,"Between 101 and 1,000",House(s)
50767159,357083079600768,3/24/2019,2019-03-24T15:15:34.511+02,2019-03-24T15:16:13.446+02,-19.6607283333333,34.4726516666667,369.5,4.4,F5,1553433355627.jpg,No / Minor,None,None
50767167,357083077024201,3/24/2019,2019-03-24T14:55:41.895+02,2019-03-24T14:56:17.361+02,-19.9374,34.5550783333333,311.1,4.6,D6,1553432165416.jpg,Serious,Less than 100,House(s)
50767171,357083079604919,3/24/2019,2019-03-24T16:23:19.520+02,2019-03-24T16:23:53.017+02,-19.5933533333333,35.2453133333333,93.7,4.8,F9,1553437418312.jpg,Of concern,"Between 101 and 1,000",House(s)
50767185,357083077024201,3/24/2019,2019-03-24T14:56:24.834+02,2019-03-24T14:57:45.550+02,-19.9267933333333,34.5678,310.2,4.6,D6,1553432243550.jpg,Severe,Less than 100,Building
50767190,357083079604919,3/24/2019,2019-03-24T16:24:05.943+02,2019-03-24T16:25:05.145+02,-19.6090866666667,35.224215,94.5,4.5,F9,1553437490265.jpg,Serious,"Between 1,001 and 5,000",House(s)
50767209,357083077024201,3/24/2019,2019-03-24T14:59:24.711+02,2019-03-24T15:00:07.399+02,-19.8865083333333,34.5922516666667,303,4.6,D6,1553432395542.jpg,Severe,"More than 5,000",House(s)
50767228,357083079604919,3/24/2019,2019-03-24T16:25:15.354+02,2019-03-24T16:25:49.858+02,-19.6115983333333,35.2212633333333,130.1,4.4,F9,1553437533320.jpg,Of concern,"Between 1,001 and 5,000",House(s)
50767232,357083077024201,3/24/2019,2019-03-24T15:00:59.215+02,2019-03-24T15:02:04.200+02,-19.8627516666667,34.5770283333333,309.4,4.7,E6,1553432492246.jpg,No / Minor,None,Road
50767239,357083079600768,3/24/2019,2019-03-24T15:21:53.430+02,2019-03-24T15:23:01.499+02,-19.5444533333333,34.516835,415.5,4.6,F5,1553433769349.jpg,No / Minor,None,None
50767244,357083077024201,3/24/2019,2019-03-24T15:03:29.241+02,2019-03-24T15:05:54.379+02,-19.863275,34.50488,325.2,5,E5,1553432739412.jpg,Severe,None,Building
50767253,357083079600768,3/24/2019,2019-03-24T15:24:56.564+02,2019-03-24T15:25:56.528+02,-19.4912016666667,34.5258683333333,388.6,4.7,F5,1553433924390.jpg,Of concern,Less than 100,Other type of infrastructure
50767262,357083077024201,3/24/2019,2019-03-24T15:06:25.464+02,2019-03-24T15:07:24.833+02,-19.8628466666667,34.4788916666667,324,4.8,E5,1553432826589.jpg,Severe,"More than 5,000",House(s)
50767265,357083079600768,3/24/2019,2019-03-24T15:26:23.514+02,2019-03-24T15:27:39.295+02,-19.44262,34.5205583333333,105.7,4.8,F5,1553434038911.jpg,No / Minor,Less than 100,Road
50767274,357083079604919,3/24/2019,2019-03-24T16:27:11.271+02,2019-03-24T16:28:02.685+02,-19.642645,35.1822266666667,119.8,4.6,E9,1553437668511.jpg,Serious,"Between 101 and 1,000",House(s)
50767277,357083077024201,3/24/2019,2019-03-24T15:07:45.500+02,2019-03-24T15:08:24.317+02,-19.8601333333333,34.4557016666667,339.9,4.9,E5,1553432891417.jpg,Severe,"More than 5,000",House(s)
50767280,357083079600768,3/24/2019,2019-03-24T15:28:05.521+02,2019-03-24T15:32:56.942+02,-19.5454716666667,34.559015,305.5,4.7,F6,1553434364325.jpg,No / Minor,None,None
50767322,357083077024201,3/24/2019,2019-03-24T15:09:14.453+02,2019-03-24T15:14:00.260+02,-19.733655,34.4725033333333,341.3,4.8,E5,1553433226570.jpg,No / Minor,Less than 100,House(s)
50767326,357083079604919,3/24/2019,2019-03-24T16:28:06.485+02,2019-03-24T16:28:47.998+02,-19.6471466666667,35.1780716666667,108.7,4.5,E9,1553437701357.jpg,Serious,"Between 101 and 1,000",House(s)
50767342,357083079600768,3/24/2019,2019-03-24T15:34:26.752+02,2019-03-24T15:35:22.092+02,-19.54795,34.6250533333333,233.2,4.3,F6,1553434505374.jpg,Serious,"Between 101 and 1,000",House(s)
50767382,357083077024201,3/24/2019,2019-03-24T15:14:05.782+02,2019-03-24T15:18:01.629+02,-19.6207216666667,34.4574216666667,355.8,4.9,E6,1553433458257.jpg,Of concern,None,Building
50767386,357083079604919,3/24/2019,2019-03-24T16:29:09.105+02,2019-03-24T16:29:45.191+02,-19.6492866666667,35.1561016666667,107.8,4.8,E9,1553437768557.jpg,No / Minor,Less than 100,House(s)
50767398,357083079600768,3/24/2019,2019-03-24T15:35:44.229+02,2019-03-24T15:36:12.872+02,-19.5393616666667,34.63933,230.4,4.9,F6,1553434560481.jpg,Serious,"Between 101 and 1,000",House(s)
50767411,357083077024201,3/24/2019,2019-03-24T15:22:18.241+02,2019-03-24T15:23:53.009+02,-19.5477366666667,34.5276833333333,292.4,5,E5,1553433767217.jpg,Severe,Less than 100,House(s)
50767442,357083079600768,3/24/2019,2019-03-24T15:36:17.517+02,2019-03-24T15:36:47.898+02,-19.5436133333333,34.6325366666667,230.7,4.7,F6,1553434595733.jpg,Serious,"Between 101 and 1,000",House(s)
50767446,357083077024201,3/24/2019,2019-03-24T15:23:56.677+02,2019-03-24T15:27:35.038+02,-19.4614766666667,34.5299833333333,335.1,5,F5,1553434015391.jpg,No / Minor,None,Road
50767470,357083077024201,3/24/2019,2019-03-24T15:27:50.936+02,2019-03-24T15:28:48.979+02,-19.4452566666667,34.5261583333333,55.5,4.9,F5,1553434098294.jpg,Severe,Less than 100,Spontaneous sttlement
50767501,357083077024201,3/24/2019,2019-03-24T15:29:03.640+02,2019-03-24T15:34:56.677+02,-19.5458066666667,34.6068433333333,241.2,5,F6,1553434467859.jpg,Serious,None,Other type of infrastructure
50767543,357083079604919,3/24/2019,2019-03-24T16:30:33.630+02,2019-03-24T16:31:08.426+02,-19.6749316666667,35.1489033333333,104.2,4.8,E9,1553437850211.jpg,Of concern,"Between 101 and 1,000",House(s)
50767551,357083077024201,3/24/2019,2019-03-24T15:35:02.375+02,2019-03-24T15:35:40.132+02,-19.54854,34.6304833333333,247.6,4.7,F6,1553434517811.jpg,Severe,"More than 5,000",House(s)
50767562,357083079604919,3/24/2019,2019-03-24T16:31:29.747+02,2019-03-24T16:32:10.742+02,-19.6798966666667,35.130055,103.9,4.5,E9,1553437904738.jpg,Of concern,"Between 101 and 1,000",House(s)
50767567,357083077024201,3/24/2019,2019-03-24T15:35:45.303+02,2019-03-24T15:36:27.108+02,-19.5392333333333,34.63931,248.9,4.9,F6,1553434573648.jpg,Severe,"Between 101 and 1,000",School
50767571,357083079604919,3/24/2019,2019-03-24T16:34:05.247+02,2019-03-24T16:34:36.408+02,-19.7148733333333,35.08675,112,4.7,E9,1553438059685.jpg,Of concern,"Between 101 and 1,000",Building
50767578,357083077024201,3/24/2019,2019-03-24T15:36:44.691+02,2019-03-24T15:38:27.448+02,-19.5656133333333,34.6567783333333,251.3,5,F6,1553434681096.jpg,Serious,Less than 100,House(s)
50767610,357083077024201,3/24/2019,2019-03-24T15:39:55.498+02,2019-03-24T15:40:57.170+02,-19.6075583333333,34.7121666666667,268.7,5,F6,1553434826198.jpg,Severe,"Between 101 and 1,000",House(s)
50767630,357083079604919,3/24/2019,2019-03-24T16:35:02.308+02,2019-03-24T16:35:45.941+02,-19.7227516666667,35.065175,100.2,4.7,E9,1553438117926.jpg,Of concern,"Between 1,001 and 5,000",House(s)
50767632,357083079600768,3/24/2019,2019-03-24T15:37:57.188+02,2019-03-24T15:38:40.868+02,-19.5755633333333,34.6664916666667,235.1,4.9,F6,1553434705517.jpg,No / Minor,Less than 100,House(s)
50767636,357083077024201,3/24/2019,2019-03-24T15:41:01.024+02,2019-03-24T15:41:33.906+02,-19.5969016666667,34.7196,319.9,4.5,F6,1553434882121.jpg,Severe,"Between 101 and 1,000",House(s)
50767647,357083079604919,3/24/2019,2019-03-24T16:37:07.654+02,2019-03-24T16:38:09.292+02,-19.7564816666667,35.0254066666667,99.6,4.9,E8,1553438245620.jpg,Of concern,"Between 101 and 1,000",House(s)
50767656,357083079600768,3/24/2019,2019-03-24T15:40:34.382+02,2019-03-24T15:42:09.723+02,-19.60892,34.7307783333333,389.9,4.8,F6,1553434919581.jpg,Of concern,"Between 101 and 1,000",House(s)
50767671,357083079600768,3/24/2019,2019-03-24T15:42:32.167+02,2019-03-24T15:43:14.797+02,-19.63267,34.7498833333333,319.9,4.8,F5,1553434979059.jpg,Of concern,"Between 101 and 1,000",House(s)
50767672,357083077024201,3/24/2019,2019-03-24T15:41:41.625+02,2019-03-24T15:42:18.753+02,-19.6089233333333,34.7305633333333,323.6,5,F6,1553434917252.jpg,Severe,"More than 5,000",House(s)
50767677,357083077024201,3/24/2019,2019-03-24T16:21:35.739+02,2019-03-24T17:07:05.533+02,-19.3694533333333,34.4913366666667,351.3,5.8,G5,NA,Severe,Less than 100,House(s)
50767688,357083079600768,3/24/2019,2019-03-24T15:45:13.172+02,2019-03-24T15:45:48.899+02,-19.690955,34.8072116666667,280.7,4.8,E5,1553435135100.jpg,Of concern,Less than 100,House(s)
50767695,357083077024201,3/24/2019,2019-03-24T17:10:00.706+02,2019-03-24T17:12:59.748+02,-19.3437666666667,34.4887566666667,90.1,5.9,G5,1553440326597.jpg,Severe,Less than 100,House(s)
50767699,357083077024201,3/24/2019,2019-03-24T17:16:11.718+02,2019-03-24T17:17:09.082+02,-19.4025783333333,34.4263533333333,236.7,7.9,G5,NA,Serious,"Between 101 and 1,000",House(s)
50767707,357083079600768,3/24/2019,2019-03-24T15:47:13.465+02,2019-03-24T15:47:56.500+02,-19.7353833333333,34.8539033333333,246.3,5,E5,1553435263026.jpg,Of concern,"Between 101 and 1,000",House(s)
50767728,357083077024201,3/24/2019,2019-03-24T17:19:51.405+02,2019-03-24T17:21:44.921+02,-19.4109533333333,34.35683,341.3,7.1,G5,1553440835198.jpg,Serious,Less than 100,House(s)
50767731,357083079600768,3/24/2019,2019-03-24T17:01:41.252+02,2019-03-24T17:02:48.825+02,-19.3824316666667,34.5462933333333,198.9,5,G6,1553439742905.jpg,Serious,Less than 100,House(s)
50767734,357083077024201,3/24/2019,2019-03-24T17:22:56.755+02,2019-03-24T17:24:23.719+02,-19.3978183333333,34.3007766666667,322.1,6.2,G4,1553441033256.jpg,Serious,Less than 100,House(s)
50767749,357083079600768,3/24/2019,2019-03-24T17:04:58.072+02,2019-03-24T17:05:57.211+02,-19.3693716666667,34.4982,188.9,5,G5,1553439925917.jpg,Critical,Less than 100,House(s)
50767762,357083077024201,3/24/2019,2019-03-24T17:27:21.986+02,2019-03-24T17:30:03.626+02,-19.3888383333333,34.1746966666667,274.6,6.6,G4,1553441351680.jpg,Serious,"Between 101 and 1,000",House(s)
50767767,357083079600768,3/24/2019,2019-03-24T17:07:50.410+02,2019-03-24T17:09:26.512+02,-19.362355,34.4936283333333,75.8,4.6,G5,1553440138491.jpg,Critical,Less than 100,Critical Incident
50767800,357083079600768,3/24/2019,2019-03-24T17:15:34.035+02,2019-03-24T17:16:15.746+02,-19.4066166666667,34.443455,216.8,4.6,G5,NA,Of concern,"Between 101 and 1,000",House(s)
50767831,357083079600768,3/24/2019,2019-03-24T17:19:13.063+02,2019-03-24T17:20:23.867+02,-19.4073616666667,34.3558616666667,345.9,4.9,G5,1553440802538.jpg,Severe,Less than 100,Building
50767847,357083079600768,3/24/2019,2019-03-24T17:21:51.297+02,2019-03-24T17:22:19.346+02,-19.401465,34.3096666666667,294,4.8,G4,NA,Severe,Less than 100,Building
50767883,357083079600768,3/24/2019,2019-03-24T17:22:37.614+02,2019-03-24T17:23:34.871+02,-19.3953316666667,34.2949583333333,216.3,4.6,G4,1553440992989.jpg,Severe,Less than 100,House(s)
50767914,357083079600768,3/24/2019,2019-03-24T17:27:14.471+02,2019-03-24T17:28:49.162+02,-19.3907066666667,34.170565,233.9,4.7,G4,1553441274431.jpg,Of concern,Less than 100,House(s)
50767932,357083079600768,3/24/2019,2019-03-24T17:28:55.770+02,2019-03-24T17:29:50.294+02,-19.4036133333333,34.1587216666667,241.1,5,G4,1553441362835.jpg,Of concern,None,School
50768704,357083079600768,3/24/2019,2019-03-24T15:19:30.226+02,2019-03-24T15:20:15.425+02,-19.57186,34.4609933333333,409.7,4.7,F5,1553433599431.jpg,No / Minor,None,None
50768754,357083079604919,3/24/2019,2019-03-24T16:29:57.324+02,2019-03-24T16:30:27.346+02,-19.66694,35.1577966666667,107.2,4.8,E9,1553437813768.jpg,Of concern,Less than 100,House(s)
50833421,357083077030356,3/25/2019,2019-03-25T09:07:11.499+02,2019-03-25T09:08:33.366+02,-19.9354533333333,34.5493516666667,96.3,7.4,D5,1553497680577.jpg,Of concern,Less than 100,House(s)
50833721,357083077030356,3/25/2019,2019-03-25T09:08:55.801+02,2019-03-25T09:10:20.670+02,-19.9665166666667,34.55753,94.9,9.4,D5,1553497774904.jpg,Serious,"Between 101 and 1,000",House(s)
50833821,357083079600768,3/25/2019,2019-03-25T08:27:52.561+02,2019-03-25T08:28:57.294+02,-19.797625,34.9007833333333,3.5,4.1,D4,1553495317827.jpg,No / Minor,None,Airport / Airfield / Landing strip
50834197,357083079600768,3/25/2019,2019-03-25T09:07:24.323+02,2019-03-25T09:09:15.053+02,-19.9303183333333,34.5488033333333,118.2,4.5,D4,1553497692568.jpg,Of concern,Less than 100,House(s)
50834304,357083079600768,3/25/2019,2019-03-25T09:10:49.791+02,2019-03-25T09:12:20.389+02,-20.0172916666667,34.565925,101.4,4.7,D4,1553497915287.jpg,Serious,Less than 100,House(s)
50835115,357083077030356,3/25/2019,2019-03-25T09:19:44.061+02,2019-03-25T09:21:32.225+02,-19.9645716666667,34.4795333333333,82.5,8.3,D5,1553498478009.jpg,No / Minor,Less than 100,House(s)
50835265,357083077030356,3/25/2019,2019-03-25T09:21:39.311+02,2019-03-25T09:23:10.547+02,-19.9837083333333,34.4689016666667,108.3,7.1,D5,1553498548958.jpg,No / Minor,None,School
50835353,357083077030356,3/25/2019,2019-03-25T09:23:15.188+02,2019-03-25T09:26:37.795+02,-20.04257,34.4433,108,4.8,D5,1553498768439.jpg,No / Minor,Less than 100,Other type of infrastructure
50835422,357083077030356,3/25/2019,2019-03-25T09:26:45.523+02,2019-03-25T09:28:09.873+02,-20.01883,34.440535,108.3,5.1,D5,1553498878896.jpg,No / Minor,Less than 100,House(s)
50835528,357083077030356,3/25/2019,2019-03-25T09:28:15.828+02,2019-03-25T09:29:05.088+02,-20.0048033333333,34.4369283333333,107.9,4.8,D5,1553498912898.jpg,Serious,"Between 101 and 1,000",School
50835862,357083077030356,3/25/2019,2019-03-25T09:29:20.553+02,2019-03-25T09:31:36.734+02,-19.97127,34.4271166666667,108.1,4.4,D5,1553499045085.jpg,Of concern,"Between 1,001 and 5,000",House(s)
50835897,357083077030356,3/25/2019,2019-03-25T09:31:42.898+02,2019-03-25T09:39:03.388+02,-20.0496466666667,34.3357066666667,183.4,7.3,D4,1553499529898.jpg,No / Minor,None,None
50836143,357083079600768,3/25/2019,2019-03-25T09:15:13.205+02,2019-03-25T09:16:13.293+02,-19.986255,34.5606566666667,96.9,4.9,D4,1553498142900.jpg,Serious,"Between 101 and 1,000",House(s)
50836241,357083079600768,3/25/2019,2019-03-25T09:22:18.872+02,2019-03-25T09:23:16.717+02,-19.98593,34.4625133333333,135.8,4.4,D4,1553498566213.jpg,Serious,"Between 101 and 1,000",School
50836341,357083079600768,3/25/2019,2019-03-25T09:25:43.518+02,2019-03-25T09:29:09.501+02,-20.0038433333333,34.4366916666667,125.1,4.8,D5,1553498915014.jpg,Serious,"Between 101 and 1,000",School
50836441,357083079600768,3/25/2019,2019-03-25T09:37:05.485+02,2019-03-25T09:40:17.684+02,-20.0730666666667,34.3600733333333,161.9,4.6,D5,1553499562157.jpg,No / Minor,Less than 100,House(s)
50836561,357083079600768,3/25/2019,2019-03-25T09:54:16.364+02,2019-03-25T09:55:30.761+02,-19.9715316666667,34.1527516666667,200,4.9,D3,1553500502261.jpg,Of concern,"Between 101 and 1,000",House(s)
50836936,357083079600768,3/25/2019,2019-03-25T11:04:23.597+02,2019-03-25T11:05:32.251+02,-19.91398,33.5886633333333,268.3,4.8,D1,1553504697212.jpg,Of concern,"Between 101 and 1,000",House(s)
50837038,357083079600768,3/25/2019,2019-03-25T11:05:59.170+02,2019-03-25T11:06:36.660+02,-19.92781,33.60963,294.4,4.9,D1,1553504782807.jpg,Of concern,"Between 101 and 1,000",House(s)
50837101,357083079600768,3/25/2019,2019-03-25T11:20:40.954+02,2019-03-25T11:21:35.256+02,-19.8235583333333,33.9902616666667,214.6,4.7,D3,1553505677318.jpg,Serious,Less than 100,House(s)
50837307,357083079600768,3/25/2019,2019-03-25T11:41:47.314+02,2019-03-25T11:42:54.796+02,-19.881135,34.6049533333333,156.8,4.9,D5,1553506960246.jpg,Serious,"Between 1,001 and 5,000",House(s)
50884773,357083077030364,3/25/2019,2019-03-25T15:00:27.031+02,2019-03-25T15:11:50.706+02,-19.804645,34.136185,195,2.4,E3,1553519396648.jpg,No / Minor,Less than 100,None
50884858,357083077030364,3/25/2019,2019-03-25T15:11:53.901+02,2019-03-25T15:16:06.356+02,-19.8282483333333,34.00262,196.4,2.1,E2,1553519714573.jpg,Serious,Less than 100,House(s)
50885375,357083077030364,3/25/2019,2019-03-25T15:16:11.318+02,2019-03-25T15:17:41.533+02,-19.83674,33.971075,134.2,2.2,E2,1553519825949.jpg,Of concern,Less than 100,House(s)
50885497,357083077030364,3/25/2019,2019-03-25T15:17:54.713+02,2019-03-25T15:26:28.700+02,-19.7603033333333,33.9035366666667,175.8,2.2,E2,1553520371249.jpg,No / Minor,Less than 100,House(s)
50885702,357083077030364,3/25/2019,2019-03-25T15:26:33.800+02,2019-03-25T15:28:31.340+02,-19.77751,33.8620816666667,172.1,2.1,E2,1553520495827.jpg,No / Minor,Less than 100,Bridge
50885842,357083077030364,3/25/2019,2019-03-25T15:28:34.589+02,2019-03-25T15:33:54.784+02,-19.7847933333333,33.79725,240.3,2.1,E2,1553520759276.jpg,No / Minor,Less than 100,None
50885999,357083077030364,3/25/2019,2019-03-25T15:45:15.269+02,2019-03-25T16:00:15.429+02,-19.499625,33.6880516666667,198.9,2.2,E1,1553521607837.jpg,No / Minor,Less than 100,Other type of infrastructure
50886043,357083077030364,3/25/2019,2019-03-25T15:51:21.230+02,2019-03-25T15:51:54.256+02,-19.494145,33.8436833333333,365,2.3,E1,1553521893041.jpg,No / Minor,Less than 100,Other type of infrastructure
50886160,357083077030364,3/25/2019,2019-03-25T15:52:21.819+02,2019-03-25T15:59:50.300+02,-19.6055683333333,33.9859416666667,198.5,2.2,E1,1553522305140.jpg,No / Minor,Less than 100,Building
50886223,357083077030364,3/25/2019,2019-03-25T16:02:44.356+02,2019-03-25T16:06:37.839+02,-19.7404083333333,34.138645,214.3,2,E3,1553522719640.jpg,No / Minor,Less than 100,House(s)
50886362,357083077030364,3/25/2019,2019-03-25T16:07:08.977+02,2019-03-25T16:07:48.503+02,-19.7344466666667,34.21469,219,2,E3,1553522842586.jpg,Of concern,Less than 100,House(s)
50886511,357083077030364,3/25/2019,2019-03-25T16:08:00.559+02,2019-03-25T16:09:35.714+02,-19.7408883333333,34.2456933333333,217.3,2.1,E3,1553522904235.jpg,Of concern,"Between 101 and 1,000",School
50886588,357083077030364,3/25/2019,2019-03-25T16:09:40.208+02,2019-03-25T16:12:58.807+02,-19.7193316666667,34.3612733333333,212.3,2.1,E3,1553523146106.jpg,Of concern,Less than 100,House(s)
50886660,357083077030364,3/25/2019,2019-03-25T16:16:01.830+02,2019-03-25T16:17:52.800+02,-19.7156566666667,34.4908616666667,121.2,2,E4,1553523425541.jpg,Serious,"Between 101 and 1,000",Building
50886786,357083077030414,3/25/2019,2019-03-25T15:02:05.724+02,2019-03-25T15:03:20.255+02,-19.8370633333333,34.290725,220.9,4.5,E4,1553518956052.jpg,No / Minor,None,None
50887124,357083077030414,3/25/2019,2019-03-25T15:06:57.381+02,2019-03-25T15:07:41.925+02,-19.785745,34.188675,208.2,5.7,E3,1553519240646.jpg,Of concern,Less than 100,House(s)
50887215,357083077030414,3/25/2019,2019-03-25T15:07:47.121+02,2019-03-25T15:09:55.174+02,-19.8072033333333,34.13326,189.5,5,E3,1553519371140.jpg,Of concern,Less than 100,Other type of infrastructure
50887264,357083077030414,3/25/2019,2019-03-25T15:10:01.425+02,2019-03-25T15:11:30.188+02,-19.8135266666667,34.0859166666667,199,6.6,E2,1553519474605.jpg,No / Minor,Less than 100,House(s)
50887323,357083077030414,3/25/2019,2019-03-25T15:11:49.423+02,2019-03-25T15:14:02.552+02,-19.828475,34.0152466666667,234.1,5.5,E2,1553519625364.jpg,No / Minor,Less than 100,None
50887366,357083077030414,3/25/2019,2019-03-25T15:14:08.838+02,2019-03-25T15:14:47.694+02,-19.8268783333333,33.9968216666667,181.7,5.4,E2,1553519664534.jpg,No / Minor,Less than 100,None
50887468,357083077030414,3/25/2019,2019-03-25T15:14:54.917+02,2019-03-25T15:15:38.734+02,-19.8162016666667,33.9860533333333,76.8,7.3,E2,1553519719178.jpg,Of concern,Less than 100,House(s)
50887624,357083077030414,3/25/2019,2019-03-25T15:15:49.992+02,2019-03-25T15:17:05.585+02,-19.8406966666667,33.96926,136.1,4.7,E2,1553519811668.jpg,No / Minor,Less than 100,School
50887778,357083077030414,3/25/2019,2019-03-25T15:17:13.487+02,2019-03-25T15:20:59.398+02,-19.8041883333333,33.91932,198.2,5.1,E2,1553520045853.jpg,No / Minor,Less than 100,None
50887830,357083077030414,3/25/2019,2019-03-25T15:21:16.287+02,2019-03-25T15:23:27.700+02,-19.73392,33.9534933333333,199.6,5.5,E2,1553520193388.jpg,No / Minor,None,Road
