survey_date,survey_round,enum_name,enum_sex,site_id,site_name,provincia,distrito,posto,localizacao,longitude,latitude,site_class,site_type,type_other,open_date,site_mang,site_com,accessible,safe_secure,original_region,original_distrito,origin_trad_area,original_localizacao,return,prevent_return,period_displaced,familias,idps,vulnerables,need1,need2,need3,sleep_outdoors,sleep_emergency_shelter,sleep_permanent_shelter,nfi_needs_1,nfi_needs_2,nfi_needs_3,nfi_needs_4,nfi_needs_5,nfi_needs_6,nfi_needs_7,nfi_needs_8,nfi_needs_9,nfi_needs_all,reason_NFI_needs,other_reasons_NFI_needs,main_water_source,drinking_cooking_washing,enough_water_cook_pers_hyg,enough_water_drink,enough_water_shower,enough_soap,comm_fac_sanitation,area_od,area_garbage,less_3meals,go_market,needs_market,needs_market _reason,needs_market _reason_other,time_health_fac,prevent_healthcare,female_workers_healthcare,women_birth,women_birth_professional,prop_school_u5,prop_school_6_12,prop_school_13_17,lighting_community,separated_toilet,lock_toilet,lit_toilets,separate_baths,bathing_locks,eviction_threat,security,vul,wash,shelter,food,health,edu,prot,ret
2019-04-05,2,n/a,Male,MOZ_S040,Antiga Emissora Radio,Sofala,Cidade da Beira,Cidade da Beira,Manga Loforte,34.867267,-19.733019,Spontaneous,School,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Manga Loforte,Yes,House damaged/destroyed,More than 3 months,57,572,54,Food,Shelter,Heath care,Most (around 75%),Most (around 75%),Most (around 75%),0,0,0,0,"Items for sleeping (mats, blankets,..)",Mosquito nets,0,Shoes and clothes,0,"Items for sleeping (mats, blankets,..), Mosquito nets, Shoes and clothes, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Tube well/Borehole,Most (around 75%),About half (around 50%),A few (around 25%),About half (around 50%),Flush to open drain,A few (around 25%),Everyone (around 100%),Most (around 75%),Walking,No,Do not have enough money/Prices are too high,N/A,More than 30 minutes,No medicines available in healthcare center,Yes,At health facility,Yes,Most (around 75%),Most (around 75%),Most (around 75%),None (around 0%),Most (around 75%),None (around 0%),None (around 0%),Most (around 75%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S015,E 24 de Julho,Sofala,Cidade da Beira,Cidade da Beira,Beira,34.855027,-19.842795,Spontaneous,School,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Beira,Yes,Lack of food,Between 1 and 3 months,200,1304,18,Shelter,Shelter,Food,Most (around 75%),Everyone (around 100%),Most (around 75%),0,Cooking stoves,0,0,"Items for sleeping (mats, blankets,..)",0,0,Shoes and clothes,0,"Cooking stoves, Items for sleeping (mats, blankets,..), Shoes and clothes, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Public tap/Standpipe,Do not know/No answer,Nobody (around 0%),Nobody (around 0%),About half (around 50%),Flush to pit latrine,Most (around 75%),Everyone (around 100%),Everyone (around 100%),Walking,No,Do not have enough money/Prices are too high,N/A,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,Most (around 75%),Most (around 75%),Most (around 75%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),About half (around 50%),None (around 0%),Yes,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Female,MOZ_S001,ES M. S. Mutemba,Sofala,Cidade da Beira,Cidade da Beira,Chiveve Esturro,34.8511254,-19.8340938,Spontaneous,School,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Chiveve,Yes,House damaged/destroyed,Between 1 and 3 months,91,456,10,Food,Shelter,N/A,Nobody (around 0%),Everyone (around 100%),Do not know/No answer,0,0,0,Hygiene products (for personal hygiene),"Items for sleeping (mats, blankets,..)",Mosquito nets,0,0,0,"Hygiene products (for personal hygiene), Items for sleeping (mats, blankets,..), Mosquito nets, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Water sources from FIPAG,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Most (around 75%),Flush to piped sewer system,Do not know/No answer,Do not know/No answer,Nobody (around 0%),Walking,Yes,N/A,N/A,Do not know/No answer,Nothing is preventing people,Yes,At health facility,Yes,Nobody (around 0%),A few (around 25%),A few (around 25%),None (around 0%),About half (around 50%),A few (around 25%),None (around 0%),About half (around 50%),A few (around 25%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S032,EPC Palmeiras,Sofala,Cidade da Beira,Cidade da Beira,Beira,34.863,-19.8189,Spontaneous,School,N/A,2019-03-14,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Beira,Yes,Lack of food,Between 2 and 1 month,93,115,23,N/A,N/A,N/A,Nobody (around 0%),Nobody (around 0%),Nobody (around 0%),0,0,0,Hygiene products (for personal hygiene),"Items for sleeping (mats, blankets,..)",Mosquito nets,0,0,0,"Hygiene products (for personal hygiene), Items for sleeping (mats, blankets,..), Mosquito nets, ",There is no market or access to market from the site,N/A,Water sources from FIPAG,Public tap/Standpipe,A few (around 25%),Everyone (around 100%),Everyone (around 100%),A few (around 25%),Hanging toilet / hanging latrine,Nobody (around 0%),Nobody (around 0%),A few (around 25%),Walking,No,Do not have enough money/Prices are too high,N/A,More than 30 minutes,No medicines available in healthcare center,Yes,At health facility,Yes,Most (around 75%),Nobody (around 0%),A few (around 25%),None (around 0%),A few (around 25%),None (around 0%),A few (around 25%),Most (around 75%),None (around 0%),No,Do not know/No answer,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S041,Igreja Adventista,Sofala,Cidade da Beira,Cidade da Beira,Manga loforte,34.880915,-19.834841,Spontaneous,Other,Church,N/A,No,No Answer,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Manga loforte,Yes,House damaged/destroyed,Between 2 and 1 month,28,104,5,Food,Health,Shelters,Do not know/No answer,About half (around 50%),A few (around 25%),0,0,0,Hygiene products (for personal hygiene),"Items for sleeping (mats, blankets,..)",0,0,Shoes and clothes,0,"Hygiene products (for personal hygiene), Items for sleeping (mats, blankets,..), Shoes and clothes, ","There is access to the market, but they do not sell to us (discrimination)",N/A,Water sources from FIPAG,Public tap/Standpipe,Everyone (around 100%),Everyone (around 100%),Nobody (around 0%),Everyone (around 100%),Pit latrine without slab / open pit,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),Walking,No,Do not have enough money/Prices are too high,N/A,More than 30 minutes,Health services are only accessible during part of the day or some day,Yes,Do not know/No answer,Yes,Most (around 75%),Most (around 75%),Most (around 75%),A few (around 25%),All (100%),None (around 0%),None (around 0%),All (100%),None (around 0%),No,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S010,EPC Muavi 2,Sofala,Cidade da Beira,Cidade da Beira,Manga lo forte,34.92222222,-19.80611111,Spontaneous,School,N/A,2019-03-15,No,No Answer,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Manga loforte,Yes,House damaged/destroyed,Between 1 and 2 weeks,91,374,0,Food,Health,Clothes,About half (around 50%),Most (around 75%),Most (around 75%),0,0,0,0,"Items for sleeping (mats, blankets,..)",Mosquito nets,0,Shoes and clothes,0,"Items for sleeping (mats, blankets,..), Mosquito nets, Shoes and clothes, ",No answer/Do not know,N/A,Water sources from FIPAG,Piped water to neighbor,About half (around 50%),Most (around 75%),A few (around 25%),A few (around 25%),Pit latrine with slab,About half (around 50%),About half (around 50%),Most (around 75%),Walking,No,Do not have enough money/Prices are too high,N/A,There is no reachable health facility,No medicines available in healthcare center,Only sometimes/Part of the time,At health facility,Yes,Most (around 75%),Most (around 75%),Most (around 75%),Most (around 75%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-04,2,n/a,Male,MOZ_S037,Sao Pedro Claver,Sofala,Cidade da Beira,Cidade da Beira,Manga loforte,34.824,-19.733,Spontaneous,Community Center,N/A,2019-04-06,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Manga loforte,Do not know/No answer,No livelihood,More than 3 months,470,814,0,Food,Shelter,0,Nobody (around 0%),Most (around 75%),Nobody (around 0%),0,0,0,Hygiene products (for personal hygiene),0,Mosquito nets,0,Shoes and clothes,0,"Hygiene products (for personal hygiene), Mosquito nets, Shoes and clothes, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Cart with small tank,Protected dug well,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Nobody (around 0%),No facility / bush / field (aggregate/adapt to the context as needed),A few (around 25%),Nobody (around 0%),A few (around 25%),Walking,Yes,N/A,N/A,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,No,Most (around 75%),About half (around 50%),Most (around 75%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-06,2,n/a,Female,MOZ_S034,IFP Inhamizua,Sofala,Cidade da Beira,Cidade da Beira,Inhamizua,34.81,-19.725,Spontaneous,School,N/A,2019-04-05,Yes,Unknown,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Inhamizua,Do not know/No answer,Lack of food,More than 3 months,93,374,0,Lighting,Sanitation,Food,Do not know/No answer,Everyone (around 100%),Nobody (around 0%),0,0,Cooking items (pots/pans,Hygiene products (for personal hygiene),0,Mosquito nets,0,0,0,"Cooking items (pots/pans, Hygiene products (for personal hygiene), Mosquito nets, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Public tap/Standpipe,Everyone (around 100%),A few (around 25%),A few (around 25%),Nobody (around 0%),Pit latrine without slab / open pit,Nobody (around 0%),Everyone (around 100%),Do not know/No answer,Walking,Yes,N/A,N/A,Do not know/No answer,Nothing is preventing people,No,Do not know/No answer,Yes,Do not know/No answer,Do not know/No answer,Do not know/No answer,Most (around 75%),About half (around 50%),About half (around 50%),Most (around 75%),About half (around 50%),About half (around 50%),No,Do not know/No answer,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S011,EPC Eduardo Monlane,Sofala,Cidade da Beira,Cidade da Beira,Chiveve,34.8419,-19.84008,Spontaneous,School,N/A,N/A,Yes,No,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Chiveve,No,House damaged/destroyed,More than 3 months,137,688,19,Food,Shelter,Roupas,Nobody (around 0%),Nobody (around 0%),Nobody (around 0%),0,0,0,Hygiene products (for personal hygiene),0,Mosquito nets,0,0,Soap/detergent for washing clothes,"Hygiene products (for personal hygiene), Mosquito nets, Soap/detergent for washing clothes",There is no market or access to market from the site,N/A,Water sources from FIPAG,Public tap/Standpipe,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),A few (around 25%),Hanging toilet / hanging latrine,Nobody (around 0%),Nobody (around 0%),A few (around 25%),Walking,Not most people,Do not have enough money/Prices are too high,N/A,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,Most (around 75%),Nobody (around 0%),A few (around 25%),None (around 0%),Most (around 75%),Most (around 75%),About half (around 50%),Most (around 75%),About half (around 50%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-03,2,n/a,Male,MOZ_S066,Jhon segredo,Sofala,Nhamatanda,Tica,Tica,34.42966,-19.39683,Spontaneous,Other,Center,2019-03-16,Yes,No,Yes,Yes,Sofala,Nhamatanda,Tica,Tica,Yes,House damaged/destroyed,More than 3 months,826,4130,33,Food,Health,School,Nobody (around 0%),Everyone (around 100%),Nobody (around 0%),0,0,Cooking items (pots/pans,0,"Items for sleeping (mats, blankets,..)",0,0,0,Soap/detergent for washing clothes,"Cooking items (pots/pans, Items for sleeping (mats, blankets,..), Soap/detergent for washing clothes",There is no market or access to market from the site,N/A,Tube well/Borehole,Surface water,Everyone (around 100%),Most (around 75%),Nobody (around 0%),Most (around 75%),No facility / bush / field (aggregate/adapt to the context as needed),Do not know/No answer,Everyone (around 100%),Everyone (around 100%),Walking,Yes,N/A,N/A,There is no reachable health facility,There are no reachable health services,No,At health facility,Yes,Nobody (around 0%),Most (around 75%),Most (around 75%),None (around 0%),Most (around 75%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),No,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-03,2,n/a,Female,MOZ_S055,Epc samora machel mafambisse,Sofala,Dondo,Mafambisse,Mafambisse,34.62788,-19.53904,Spontaneous,Community Center,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Dondo,Mafambisse,Mafambisse,Yes,House damaged/destroyed,Between 1 and 3 months,168,873,0,Blankets,Clothes,School,A few (around 25%),Most (around 75%),Nobody (around 0%),0,0,0,Hygiene products (for personal hygiene),"Items for sleeping (mats, blankets,..)",Mosquito nets,0,0,0,"Hygiene products (for personal hygiene), Items for sleeping (mats, blankets,..), Mosquito nets, ","Items are sold, and there is access to the market, but items are of bad quality",N/A,Rainwater,Tube well/Borehole,Everyone (around 100%),Everyone (around 100%),Nobody (around 0%),Nobody (around 0%),No facility / bush / field (aggregate/adapt to the context as needed),Everyone (around 100%),Nobody (around 0%),Everyone (around 100%),Walking,No,Do not have enough money/Prices are too high,N/A,Up to 30 minutes,No medicines available in healthcare center,Yes,At health facility,Yes,Nobody (around 0%),Everyone (around 100%),Do not know/No answer,None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-03,2,n/a,Male,MOZ_S056,Epc chipinde,Sofala,Dondo,Mafambisse,Mafambisse,34.63558,-19.5406,Spontaneous,School,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Dondo,Mafambisse,Mutua,Yes,House damaged/destroyed,Between 2 and 1 month,190,950,69,Shelter,School,Food,A few (around 25%),Most (around 75%),A few (around 25%),0,0,0,Hygiene products (for personal hygiene),"Items for sleeping (mats, blankets,..)",Mosquito nets,0,0,0,"Hygiene products (for personal hygiene), Items for sleeping (mats, blankets,..), Mosquito nets, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Tube well/Borehole,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Pit latrine with slab,Nobody (around 0%),Nobody (around 0%),Nobody (around 0%),Walking,Yes,N/A,N/A,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,Nobody (around 0%),Most (around 75%),A few (around 25%),None (around 0%),Most (around 75%),None (around 0%),None (around 0%),All (100%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-03,2,n/a,Female,MOZ_S062,Vila sede,Sofala,Nhamatanda,Nhamatanda,Tica,34.43738,-19.40629,Spontaneous,Other,N/A,2019-03-28,Yes,Yes,Yes,Yes,Sofala,Nhamatanda,Nhamatanda,Vila sede,Yes,House damaged/destroyed,Between 1 and 3 months,2697,13779,51,Food,Health,Shelters,Do not know/No answer,Do not know/No answer,Do not know/No answer,0,0,Cooking items (pots/pans,0,"Items for sleeping (mats, blankets,..)",0,0,Shoes and clothes,0,"Cooking items (pots/pans, Items for sleeping (mats, blankets,..), Shoes and clothes, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Tanker-Truck,Tanker-Truck,A few (around 25%),A few (around 25%),Everyone (around 100%),Nobody (around 0%),Pit latrine with slab,Do not know/No answer,Nobody (around 0%),About half (around 50%),Walking,Yes,N/A,N/A,Do not know/No answer,Nothing is preventing people,Yes,At health facility,Yes,Do not know/No answer,Do not know/No answer,Do not know/No answer,About half (around 50%),About half (around 50%),None (around 0%),None (around 0%),About half (around 50%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-02,2,n/a,Male,MOZ_S052,Samora machel 2,Sofala,Dondo,Dondo,Eduardo mondlane,34.626146,-19.538155,Spontaneous,Other,Camp,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Dondo,Dondo,Eduardo mandlane,Yes,House damaged/destroyed,Between 1 and 2 weeks,103,409,62,Latrines,Household items,Light,Do not know/No answer,Do not know/No answer,Do not know/No answer,0,Cooking stoves,0,0,0,Mosquito nets,0,0,Soap/detergent for washing clothes,"Cooking stoves, Mosquito nets, Soap/detergent for washing clothes",Other,No money,Water sources from FIPAG,Piped water to yard/Plot,Everyone (around 100%),Everyone (around 100%),Nobody (around 0%),Nobody (around 0%),No facility / bush / field (aggregate/adapt to the context as needed),Everyone (around 100%),Everyone (around 100%),Nobody (around 0%),Walking,Not most people,Other,Electrical network,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,Nobody (around 0%),Everyone (around 100%),Do not know/No answer,None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),Do not know/No answer,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-02,2,n/a,Male,MOZ_S053,Samora machel,Sofala,Dondo,Dondo,Bairro samora machel,34.722026,-19.576157,Spontaneous,Other,Camp,2019-03-20,No,Yes,Yes,Yes,Sofala,Dondo,Dondo,Bairro samora machel,Yes,House damaged/destroyed,Less than 1 week,371,1866,205,Food,Shelter,Health,A few (around 25%),A few (around 25%),A few (around 25%),0,Cooking stoves,0,0,0,0,Closed containers to transport and /or store water,0,Soap/detergent for washing clothes,"Cooking stoves, Closed containers to transport and /or store water, Soap/detergent for washing clothes",Other,There's Nothing,Water sources from FIPAG,Water sources from FIPAG,Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Pit latrine without slab / open pit,Everyone (around 100%),Everyone (around 100%),Nobody (around 0%),Walking,Yes,N/A,N/A,Up to 30 minutes,Health services are only accessible during part of the day or some day,Yes,At health facility,Yes,Nobody (around 0%),Most (around 75%),Most (around 75%),None (around 0%),All (100%),None (around 0%),None (around 0%),None (around 0%),All (100%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-07,2,n/a,Female,MOZ_S058,Igreja metodista,Sofala,Nhamatanda,Nhamatanda,nharuchonga,34.12677,-19.24627,Spontaneous,Other,Church,2019-04-04,Yes,Yes,Yes,Yes,Sofala,Nhamatanda,Nhamatanda,Siluvo nharruchonga,Yes,House damaged/destroyed,More than 3 months,20,80,17,Food,Household items,clothes,Nobody (around 0%),Everyone (around 100%),A few (around 25%),0,0,0,0,"Items for sleeping (mats, blankets,..)",0,Closed containers to transport and /or store water,0,Soap/detergent for washing clothes,"Items for sleeping (mats, blankets,..), Closed containers to transport and /or store water, Soap/detergent for washing clothes","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Tube well/Borehole,Tube well/Borehole,A few (around 25%),A few (around 25%),Everyone (around 100%),A few (around 25%),Pit latrine without slab / open pit,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),Walking,No,Do not have enough money/Prices are too high,N/A,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,A few (around 25%),About half (around 50%),Everyone (around 100%),A few (around 25%),All (100%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-07,2,n/a,Male,MOZ_S059,Igreja metodista monte siluvo,Sofala,Nhamatanda,Nhamatanda,Monte siluve,34.029868,-19.236807,Spontaneous,Other,Church,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Nhamatanda,Nhamatanda,Monte siluvo,Yes,House damaged/destroyed,More than 3 months,20,102,37,Food,Shelter,Clothes,Nobody (around 0%),A few (around 25%),A few (around 25%),0,0,0,Hygiene products (for personal hygiene),"Items for sleeping (mats, blankets,..)",0,Closed containers to transport and /or store water,0,0,"Hygiene products (for personal hygiene), Items for sleeping (mats, blankets,..), Closed containers to transport and /or store water, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Tube well/Borehole,Tube well/Borehole,About half (around 50%),About half (around 50%),Everyone (around 100%),Nobody (around 0%),Pit latrine without slab / open pit,A few (around 25%),Everyone (around 100%),Everyone (around 100%),Walking,Not most people,Do not have enough money/Prices are too high,N/A,Up to 30 minutes,No medicines available in healthcare center,Yes,At health facility,Yes,A few (around 25%),About half (around 50%),Most (around 75%),A few (around 25%),Most (around 75%),None (around 0%),None (around 0%),A few (around 25%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-07,2,n/a,Male,MOZ_S050,Igreja metodista Dondo Moflor,Sofala,Dondo,Dondo,Nhamayabwe,34.738123,-19.606698,Spontaneous,Other,Church,2019-03-05,Yes,Yes,Yes,Yes,Sofala,Dondo,Dondo,Dondo Nhamayabwe,Yes,House damaged/destroyed,More than 3 months,30,162,13,Food,Sanitation,Habitation,Do not know/No answer,A few (around 25%),A few (around 25%),0,0,0,Hygiene products (for personal hygiene),"Items for sleeping (mats, blankets,..)",0,Closed containers to transport and /or store water,0,0,"Hygiene products (for personal hygiene), Items for sleeping (mats, blankets,..), Closed containers to transport and /or store water, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Tube well/Borehole,Tube well/Borehole,A few (around 25%),A few (around 25%),A few (around 25%),Nobody (around 0%),Pit latrine without slab / open pit,Nobody (around 0%),Nobody (around 0%),A few (around 25%),Walking,Yes,N/A,N/A,More than 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,Nobody (around 0%),Everyone (around 100%),Everyone (around 100%),A few (around 25%),About half (around 50%),None (around 0%),None (around 0%),None (around 0%),None (around 0%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Female,MOZ_S006,Escola Industrial 25 de Junho,Sofala,Cidade da Beira,Cidade da Beira,Chiveve,34.8575,-19.82888889,Spontaneous,School,N/A,2019-03-15,Yes,Yes,Yes,Yes,Sofala,Cidade da Beira,Cidade da Beira,Chiveve,Yes,House damaged/destroyed,Between 1 and 3 months,45,146,7,Mosquitos nets,Blankets,Clothes,Most (around 75%),Nobody (around 0%),Nobody (around 0%),0,0,Cooking items (pots/pans,0,"Items for sleeping (mats, blankets,..)",0,0,Shoes and clothes,0,"Cooking items (pots/pans, Items for sleeping (mats, blankets,..), Shoes and clothes, ","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Public tap/Standpipe,Most (around 75%),Everyone (around 100%),Everyone (around 100%),Everyone (around 100%),Pit latrine without slab / open pit,Nobody (around 0%),Nobody (around 0%),Most (around 75%),Walking,No,Do not have enough money/Prices are too high,N/A,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,No,Nobody (around 0%),Nobody (around 0%),Nobody (around 0%),None (around 0%),About half (around 50%),None (around 0%),None (around 0%),None (around 0%),About half (around 50%),No,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-05,2,n/a,Male,MOZ_S016,Escola da Antiga Emissora,Sofala,Cidade da Beira,Cidade da Beira,Inhamizua,34.82805556,-19.73638889,Spontaneous,School,N/A,2019-03-15,No,No Answer,Limited access (by foot only or only small means of transportation),Yes,Sofala,Cidade da Beira,Cidade da Beira,Inhamizua,Yes,No livelihood,Between 2 and 1 month,42,77,10,Food,Shelter,Clothes,Nobody (around 0%),A few (around 25%),Most (around 75%),0,0,0,0,"Items for sleeping (mats, blankets,..)",0,0,Shoes and clothes,Soap/detergent for washing clothes,"Items for sleeping (mats, blankets,..), Shoes and clothes, Soap/detergent for washing clothes","Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Water sources from FIPAG,Water sources from FIPAG,Most (around 75%),About half (around 50%),Most (around 75%),Most (around 75%),Pit latrine with slab,Most (around 75%),A few (around 25%),Most (around 75%),Walking,Yes,N/A,N/A,More than 30 minutes,Nothing is preventing people,Yes,At health facility,No,Nobody (around 0%),Nobody (around 0%),Nobody (around 0%),Most (around 75%),About half (around 50%),A few (around 25%),All (100%),All (100%),All (100%),Yes,Yes,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-10,2,n/a,Female,MOZ_S068,Inchope Sede,Manica,Gondola,Inchope,Inchope,33.914002,-19.204392,Spontaneous,Community Center,N/A,2019-03-16,Yes,No,Yes,Yes,Manica,Gondola,Inchope,Inchope,Yes,House damaged/destroyed,Between 1 and 3 months,33,134,11,Food,Shelter kit,clothes,Nobody (around 0%),Everyone (around 100%),Nobody (around 0%),,,,,,,,,,,There is no market or access to market from the site,N/A,Tube well/Borehole,Tube well/Borehole,A few (around 25%),About half (around 50%),Everyone (around 100%),Nobody (around 0%),Pit latrine without slab / open pit,Nobody (around 0%),Nobody (around 0%),A few (around 25%),Walking,Not most people,Do not have enough money/Prices are too high,N/A,Up to 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,Nobody (around 0%),About half (around 50%),Everyone (around 100%),None (around 0%),A few (around 25%),None (around 0%),None (around 0%),A few (around 25%),None (around 0%),No,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
2019-04-10,2,n/a,Female,MOZ_S069,E.P.C zimpinga 2,Manica,Gondola,Amatongas,Gôndola,33.850084,-19.100714,Spontaneous,School,N/A,2019-03-15,No,No,Yes,Yes,Manica,Gondola,Amatongas,Gôndola,Yes,House damaged/destroyed,Between 1 and 3 months,26,116,35,Food,Shelter kit,School,Nobody (around 0%),Nobody (around 0%),Nobody (around 0%),,,,,,,,,,,"Items are sold, and there is access to the market, but items are too expensive/people do not have enough money",N/A,Tube well/Borehole,Public tap/Standpipe,About half (around 50%),Most (around 75%),Everyone (around 100%),Nobody (around 0%),Pit latrine without slab / open pit,Nobody (around 0%),Nobody (around 0%),About half (around 50%),Walking,No,Do not have enough money/Prices are too high,N/A,More than 30 minutes,Nothing is preventing people,Yes,At health facility,Yes,Nobody (around 0%),Nobody (around 0%),Everyone (around 100%),None (around 0%),All (100%),None (around 0%),None (around 0%),A few (around 25%),None (around 0%),No,No,VULNERABILITIES AND NEEDS,WASH,SHELTER,FOOD,HEALTH,EDUCATION,PROTECTION,RETURN
